Bombeiro,Incêncio,Socorro,Telefone
Maria____,0,0,1
Sabrina__,0,0,1
Eliane___,0,0,1
Paula____,0,2,1
Bruna____,1,1,0
Thiago___,0,1,0
Adriana__,0,0,1
Caio_____,2,0,1
Rafael___,1,0,0
Carlos___,1,1,0
Daniel___,1,0,0
Lucas____,1,0,0
Aline____,0,0,1
Felipe___,0,1,0
Leonardo_,1,0,0
Diego____,0,1,1
Alexandre,1,0,0
Juliana__,0,1,0
Tatiane__,0,1,0
Bruno____,0,0,1
Eduardo__,1,1,0
Juliane__,0,0,1
Natália__,0,0,1
Ana______,0,1,0
Bianca___,0,1,0
Camila___,0,1,0
Isabela__,1,0,1
Larissa__,1,0,1
Carla____,0,0,1
Gabriela_,1,1,0
Ricardo__,1,0,0
