Bombeiro,Incêncio,Socorro,Telefone
Maria____,0,2,1
Ana______,1,0,0
Daniel___,1,1,0
Fernanda_,0,0,1
Isabela__,0,1,0
Bruna____,0,1,0
André____,1,0,0
Mariana__,1,0,0
Carlos___,1,0,0
Gustavo__,0,1,0
Beatriz__,0,0,1
Henrique_,0,1,1
Sabrina__,1,0,0
Juliane__,0,1,0
Vitor____,0,0,1
Caio_____,0,0,2
Rodrigo__,2,0,0
Carla____,0,1,0
Igor_____,1,0,0
Natália__,1,0,0
Patrícia_,1,0,0
Mateus___,0,1,0
Pedro____,0,0,1
Juliana__,0,1,0
Eliane___,1,1,0
Lucas____,1,0,1
Rafael___,0,1,0
Rafaela__,0,0,1
Gabriela_,1,0,0
Camila___,0,0,1
Marcelo__,0,1,1
Eduardo__,0,0,1
Larissa__,0,0,1
